Candidate Id,Location,Current Annual Salary,Current Salary Currency ,Current Salary Type,Expected Annual Salary,Expected Salary Currency,Total Experience in years,Current Industry,Current Fuction,Relocation Cities ,Notice Period in days,Current Job Title,Data Source
A12654,Pune,,,ANNUAL,4,INR,1.58,"ITSoftware,Software Services",,,,System Engineer,INDEED.COM
A10237,Mumbai,8,INR,ANNUAL,8,INR,3.5,Education | Primary/Secondary Education#IT | Computer Software#Public Sector | Civic & Social Organization,"Education#Strategy, Planning#IT Software",,90,"Software Engineer,Associate Software Engineer",INTERNAL DATABASE
A10691,Jaipur,5,INR,ANNUAL,5,INR,0.7,Public Sector | International Trade and Development,"Quality Assurance#Research#Self Employed, Entrepreneur, Independent Consultant",,60,Cluster Programme Manager,INTERNAL DATABASE
A10875,Bengaluru,4,,ANNUAL,4,INR,3.01,"IT | Computer Software,Energy and Utilities | Telecommunications",IT Software,,,"Programmer, System Analyst, Tech Architect",MONSTER
A13927,Vellore,,,ANNUAL,5,INR,0,IT | Computer Software#IT | Information Services#IT | Information Technology and Services,"Analytics, Business Intelligence#IT Software#Program Management",,0,,DIRECT
A10791,Bharuch,5,INR,ANNUAL,5,INR,5,Manufacturing | Plastics#Manufacturing | Production,Manufacturing#Production#Project Management,,30,"Electrical Engineer (HOD),Electrical Engineer,Electrical Trainee",INTERNAL DATABASE
A7799,Hyderabad,8,,ANNUAL,8,INR,8.34,"Manufacturing , Semiconductors,Other",IT Software,,,"Design Manager, Engineer",MONSTERDB
A13779,,,,ANNUAL,,,,IT | Information Technology and Services,,,,Frontend Ui Developer,LINKEDIN
A9451,Jaipur,9.5,INR,ANNUAL,9.5,INR,5,Financial | Accounting#IT | Outsourcing/Offshoring#Financial | Business and financial operations,"Customer Service, BPO#Finance, Accounts#Analytics, Business Intelligence",,90,Finance Manager,INTERNAL DATABASE
A10096,Delhi,8,INR,ANNUAL,8,INR,3,"Professional Services | Management Consulting#Professional Services | Market Research#Agriculture, Dairy | Agriculture","Project Management#Strategy, Planning#Business Development",,30,Assistant Manager,INTERNAL DATABASE
A12483,Mumbai,5.05,,ANNUAL,5.05,INR,3.33,"ITSoftware,Software Services",,,,Senior Software Engineer,INDEED.COM
A10041,Gurgaon,8,INR,ANNUAL,8,INR,2.5,Consumer | Consumer Goods#Consumer | Consumer Services#Medicine | Pharmaceuticals,"Analytics, Business Intelligence#Consulting#Pre-sales / Technical Sales",,90,Business and  Integration Arch Analyst,INTERNAL DATABASE
A8808,"Morinda, India",,,ANNUAL,,,,IT | Information Technology and Services,,,,"Software Developer,Internship",LINKEDIN
A14168,Mumbai,,,ANNUAL,,,,IT | Information Technology and Services,,,,,LINKEDIN
A13080,Hyderabad,4.5,,ANNUAL,7,INR,3.4,IT | Information Technology and Services#IT | Computer Software#IT | Information Services,"Design, Creative, User Experience#Engineering#IT Software",,30,Software engineer,MONSTER
A10431,Hyderabad,6.5,INR,ANNUAL,6.5,INR,5.6,Construction | Civil Engineering#Construction | Construction#Construction | Building Materials,Management#Project Management#Quality Assurance,,30,Sr Planning Engineer,INTERNAL DATABASE
A12545,Anywhere in north,,,ANNUAL,8.5,INR,30,"Pharma,Biotech,Clinical Research",,,,Manager Marketing,INDEED.COM
A9896,Delhi,5,INR,ANNUAL,5,INR,3,IT | Information Services#IT | Computer Software#IT | Information Technology and Services,"Analytics, Business Intelligence#Customer Service, BPO#Management",,15,sql and msbi developer,INTERNAL DATABASE
A7690,Bengaluru/Bangalore,50,INR,ANNUAL,50,INR,6.36,"Financial | Venture Capital & Private Equity, Financial | Investment Banking, Agriculture, Dairy | Agriculture","Financial Services, Banking, Investments, Insurance - specific, Strategy, Planning, Business Development",,60,"Practice Head - M&A, VC and PE",INTERNAL DATABASE
A12356,Bengaluru,5,,ANNUAL,5,INR,2,"ITSoftware,Software Services",,,,Software Developer,INDEED.COM
A12357,Bengaluru,4.2,,ANNUAL,4.2,INR,2.75,"ITSoftware,Software Services",,,,System Engineer,INDEED.COM
A13868,Hyderabad,,,ANNUAL,4.8,INR,3,IT | Information Technology and Services,"IT Software#Program Management#Hospitality, Resetaurants - specific",,15,Java developer,MONSTER
A13866,Indore,13.5,,ANNUAL,27,INR,6.5,IT | Information Technology and Services#Consumer | Retail#Energy and Utilities | Telecommunications,Consulting#Project Management#Project Design,,60,Solutions Delivery Manager,DIRECT
A8739,mumbai,12,INR,ANNUAL,12,INR,2.86,Transport | Automotive#Transport | Package/Freight Delivery#Transport | Transportation/Trucking/Railroad,"Analytics, Business Intelligence#Business Development#Consulting",,30,Program Manager Recruitment,DIRECT
A12509,Bangalore,8,INR,ANNUAL,8,INR,2.6,IT | Computer Software,IT Software,,60,Software Engineering Analyst,INDEED.COM
A7609,Hyderabad,11,INR,ANNUAL,11,INR,7.06,IT | Information Technology and Services,Quality Assurance,,45,Senior Test Analyst,INTERNAL DATABASE
A11053,Bengaluru,8.2,,ANNUAL,8.2,INR,7.08,IT | Computer Software,IT Software,,,Technical Leader,MONSTER
A11044,Bengaluru,4.3,,ANNUAL,4.3,INR,2.03,IT | Computer Software,IT Software,,,Software Engineer,MONSTER
A7739,hyderabad,8,INR,ANNUAL,8,INR,11.28,"Manufacturing | Leather, Manufacturing | Production",Manufacturing,,60,SR.ENGINEER,LINKEDIN
A10918,Bengaluru,,,ANNUAL,,INR,2,"ITSoftware,Software Services",IT Software,,,Associate Software Engineer,INDEED.COM
A8807,Hyderabad,2.2,INR,ANNUAL,2.2,INR,3.04,IT | Computer Software#IT | Information Services#IT | Internet,IT Software#IT Hardware#Project Management,,15,software engineer,LINKEDIN
A11380,,,,ANNUAL,,INR,5,"Consumer | Retail,IT | Internet","IT Software,Telecom, ISP",,,Software Engineer,MONSTERDB
A13268,Kakinada,,,ANNUAL,,,,IT | Information Technology and Services,,,,Software Engineer,LINKEDIN
A12119,Bangalore,8,INR,ANNUAL,8,INR,2.2,IT | Computer Software#IT | Information Services,IT Software#Engineering,,60,Software Engineer,INDEED.COM
A9345,Mumbai,15,INR,ANNUAL,15,INR,9,"Financial | Financial Services#Agriculture, Dairy | Fertilizer Pesticides#Manufacturing | Production","Financial Services, Banking, Investments, Insurance - specific#Finance, Accounts#Real Estate - specific",,30,Credit Manager,INTERNAL DATABASE
A11233,Bangalore,37,INR,ANNUAL,37,INR,12,IT | Information Services#IT | Information Technology and Services#Public Sector | Government Relations,"Architecture, Interior Design#Engineering#IT Software",,15,"Senior Software Engineer,Software Engineer,Programmer",LINKEDIN
A8428,Gurgaon,,,ANNUAL,,INR,6.19,"Software Services, Internet,Dot com,ISP, IT-Hardware,Networking, Telecom",IT Software  Software Products & Services,,,Sr. Manager,TIMES JOBS
A14023,Pune,,,ANNUAL,3.2,INR,4.06,"IT | Computer Software,Entertainment, Media | Online Media",IT Software,,,Web Master,MONSTER
A8545,New Delhi,4,INR,ANNUAL,4,INR,3.18,"Transport | Airlines/Aviation, Transport | Package/Freight Delivery","Export, Import, Customer Service, BPO, Supply Chain, Logistics",,30,Customer Service Executive,INTERNAL DATABASE
A13594,Hyderabad,,,ANNUAL,,INR,1.02,IT | Computer Software,IT Software,,,Software Engineer,MONSTER
A12469,Mumbai,2.3,,ANNUAL,2.3,INR,2.17,"ITSoftware,Software Services",IT Software,,,,INDEED.COM
A10974,Mumbai,3.55,,ANNUAL,3.55,INR,3,"ITSoftware,Software Services",IT Software,,,Test Engineer,INDEED.COM
A13546,New Delhi,17,,ANNUAL,20,INR,13,Education | Education Management#IT | Information Technology and Services,"Design, Creative, User Experience",,30,UX DESIGN MANAGER,INDEED
A9043,mumbai,9.2,INR,ANNUAL,9.2,INR,16,IT | Information Technology and Services#IT | Outsourcing/Offshoring,"Finance, Accounts#Other",,90,Manager,INTERNAL DATABASE
A8596,New Delhi,12,INR,ANNUAL,12,INR,3.97,"Professional Services | Management Consulting, Data Analytics","Analytics, Business Intelligence, Consulting",,60,Senior Analyst,INTERNAL DATABASE
A8488,Mumbai,12,INR,ANNUAL,12,INR,3.18,"Financial | Insurance, Manufacturing | Mechanical or Industrial Engineering","Manufacturing, Distribution, sales strategy",,30,Management Trainee,INTERNAL DATABASE
A8236,"Hyderabad, Secunderabad",3.9,,ANNUAL,3.9,INR,4.21,"Internet,Dot com,ISP",IT Software  Software Products & Services,"Hyderabad, Secunderabad",,Sotware Engineer-UI,TIMES JOBS
A7665,Mumbai,25,INR,ANNUAL,25,INR,16.38,"Financial | Banking, Financial | Capital Markets, Financial | Venture Capital & Private Equity","Business Development, Sales, Financial Services, Banking, Investments, Insurance - specific",,10,Head Strategic Alliances Business Development,INTERNAL DATABASE
A13293,Chennai,,,ANNUAL,3.2,INR,2.07,IT | Computer Software,IT Software,,,Software Engineer,MONSTER
A7985,Hyderabad,10,,ANNUAL,10,INR,8.39,"Financial , Banking,IT , Computer Software","IT Software,Financial Services, Banking, Investments, Insurance - specific",,,,MONSTERDB
A7771,Chennai,11,INR,ANNUAL,11,INR,5.48,IT | Information Technology and Services,IT Software,,30,Associate,INDEED
A11775,NCR,3.65,,ANNUAL,3.65,INR,1.5,"ITSoftware,Software Services",,,,Assistant System Engineer,INDEED.COM
A13606,NCR,,,ANNUAL,4.8,INR,6,"Advertising,PR,MR,Events",,,,Graphic Designer,INDEED.COM
A11998,Delhi,,,ANNUAL,,INR,5.05,"IT | Computer Software,Energy and Utilities | Oil & Energy","IT Software,Oil & Gas  specific",,,Software Engineer,MONSTERDB
A9943,Bengaluru,10,INR,ANNUAL,10,INR,6,IT | Computer Software#IT | Information Services#IT | Information Technology and Services,IT Software,,90,seniour software engineer,INDEED.COM
A13230,Hyderabad,,,ANNUAL,,INR,4,"Consumer | Consumer Goods,Energy and Utilities | Oil & Energy","Sales,Oil & Gas  specific",,,Business Development Manager,MONSTERDB
A11899,Mumbai,13.5,,ANNUAL,13.5,INR,8.06,IT | Computer Software,"IT Software,Financial Services, Banking, Investments, Insurance  specific",,,Software Engineer,MONSTERDB
A13879,Hyderabad,,,ANNUAL,3,INR,1,IT | Computer Software#IT | Information Technology and Services#IT | Information Services,IT Software#Training#Other,,0,software developer,DIRECT
A8152,Hyderabad,5,INR,ANNUAL,5,INR,5.85,IT | Computer & Network Security,IT Software,,30,Program analyst,INDEED
A7426,Mumbai,8,INR,ANNUAL,8,INR,2.54,IT | Information Technology and Services,Consulting,,30,consultant,INTERNAL DATABASE
A10541,New Delhi,19,INR,ANNUAL,19,INR,9.5,Financial | Financial Services#Financial | Capital Markets#Financial | Venture Capital & Private Equity,"Strategy, Planning",,90,Group Manager,INTERNAL DATABASE
A8432,New Delhi,,,ANNUAL,,,,IT | Computer Software,,,,"Software Engineer,Software Trainee,Software Trainee",LINKEDIN
A9580,Sivaganga,6,INR,ANNUAL,6,INR,7,Financial | Banking,"Financial Services, Banking, Investments, Insurance - specific",,90,Branch Manager,INTERNAL DATABASE
A13532,Pune,,,ANNUAL,2.4,INR,3.5,Manufacturing | Production#Manufacturing | Mechanical or Industrial Engineering#Manufacturing | Industrial Automation,"Design, Creative, User Experience#Manufacturing#Project Design",,0,Design Engineer,LINKEDIN
A14087,Hyderabad,4.5,INR,ANNUAL,8,INR,5,IT | Information Technology and Services#IT | Computer & Network Security#Education | E-Learning,"Design, Creative, User Experience#IT Software#Project Design",,60,Sr UI Developer,INDEED.COM
A7524,Hyderabad,12.5,INR,ANNUAL,12.5,INR,7.49,IT | Computer Software#Financial | Banking#Financial | Business and financial operations,"IT Software#Quality Assurance#Strategy, Planning",Hyderabad,90,Test Analyst,INTERNAL DATABASE
A11022,Bengaluru,,,ANNUAL,,INR,2.03,IT | Computer Software,IT Software,,,Software Engineer,MONSTER
A12414,NCR,3.6,,ANNUAL,3.6,INR,2.83,Retail,,,,Programmer Analyst,INDEED.COM
A11734,Bengaluru,3.75,,ANNUAL,3.75,INR,3.08,"ITSoftware,Software Services",,,,Software Engineer,INDEED.COM
A9097,Ranchi,8,INR,ANNUAL,8,INR,11,Professional Services | Staffing and Recruiting#Professional Services | Human Resources#Professional Services | Management Consulting,"Human Resources, Recruitment#Training#Consulting",,30,Head Recruitment,INTERNAL DATABASE
A11839,Hyderabad,15,INR,ANNUAL,15,INR,8.6,IT | Computer Networking#IT | Computer Software,Engineering#IT Software#IT Hardware,,60,Senior Software Engineer,DIRECT
